Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G004.fsa,G016.fsa,G073.fsa,G093.fsa,H011.fsa,H130.fsa,L070.fsa,L117.fsa,V002.fsa,V008.fsa,V050.fsa,V116.fsa
kynB_1,kynB_1,Kynurenine formamidase,2,2,1.0,2,87,,,,792,792,792.0,BEOABDLH_00111,,,,,AAIMJHFH_00404,,,,,,
group_7891,,hypothetical protein,2,2,1.0,2,86,,,,159,159,159.0,BEOABDLH_00163,,,,,AAIMJHFH_00448,,,,,,
group_7890,,hypothetical protein,2,2,1.0,2,85,,,,984,1029,1006.5,BEOABDLH_00161,,,,,AAIMJHFH_00446,,,,,,
group_7889,nepI_1,Purine ribonucleoside efflux pump NepI,2,2,1.0,2,84,,,,1200,1200,1200.0,BEOABDLH_00103,,,,,AAIMJHFH_00396,,,,,,
group_7888,,putative oxidoreductase,2,2,1.0,2,83,,,,819,819,819.0,BEOABDLH_00131,,,,,AAIMJHFH_00424,,,,,,
group_7887,,hypothetical protein,2,2,1.0,2,82,,,,207,207,207.0,BEOABDLH_00075,,,,,AAIMJHFH_00364,,,,,,
group_7886,,hypothetical protein,2,2,1.0,2,80,,,,771,771,771.0,BEOABDLH_00145,,,,,AAIMJHFH_00438,,,,,,
group_7885,,hypothetical protein,2,2,1.0,2,79,,,,771,771,771.0,BEOABDLH_00083,,,,,AAIMJHFH_00372,,,,,,
group_7884,,hypothetical protein,2,2,1.0,2,78,,,,1836,1836,1836.0,BEOABDLH_00150,,,,,AAIMJHFH_00443,,,,,,
group_7883,,L-lactate transporter,2,2,1.0,2,77,,,,1302,1302,1302.0,BEOABDLH_00078,,,,,AAIMJHFH_00367,,,,,,
group_7882,,hypothetical protein,2,2,1.0,2,76,,,,750,750,750.0,BEOABDLH_00096,,,,,AAIMJHFH_00385,,,,,,
group_7881,,hypothetical protein,2,2,1.0,2,75,,,,624,624,624.0,BEOABDLH_00088,,,,,AAIMJHFH_00377,,,,,,
group_7880,,hypothetical protein,2,2,1.0,2,74,,,,624,624,624.0,BEOABDLH_00067,,,,,AAIMJHFH_00356,,,,,,
iorB_1,iorB_1,Isoquinoline 1-oxidoreductase subunit beta,2,2,1.0,2,71,,,,2286,2286,2286.0,BEOABDLH_00097,,,,,AAIMJHFH_00386,,,,,,
bepF_1,bepF_1,Efflux pump periplasmic linker BepF,2,2,1.0,2,69,,,,1167,1167,1167.0,BEOABDLH_00125,,,,,AAIMJHFH_00418,,,,,,
rutB_1,rutB_1,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,2,2,1.0,2,68,,,,627,627,627.0,BEOABDLH_00092,,,,,AAIMJHFH_00381,,,,,,
oqxB28,oqxB28,multidrug efflux RND transporter permease subunit OqxB28,2,2,1.0,2,67,,,,3219,3219,3219.0,BEOABDLH_00124,,,,,AAIMJHFH_00417,,,,,,
sasA_1,sasA_1,Adaptive-response sensory-kinase SasA,2,2,1.0,2,66,,,,1632,1632,1632.0,BEOABDLH_00136,,,,,AAIMJHFH_00429,,,,,,
group_7876,,hypothetical protein,2,2,1.0,2,65,,,,1209,1209,1209.0,BEOABDLH_00087,,,,,AAIMJHFH_00376,,,,,,
group_7875,,hypothetical protein,2,2,1.0,2,64,,,,795,834,814.5,BEOABDLH_00093,,,,,AAIMJHFH_00382,,,,,,
group_7873,,hypothetical protein,2,2,1.0,2,62,,,,729,729,729.0,BEOABDLH_00086,,,,,AAIMJHFH_00375,,,,,,
group_7872,scoB,putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,2,2,1.0,2,61,,,,651,651,651.0,BEOABDLH_00108,,,,,AAIMJHFH_00401,,,,,,
group_7871,curA,NADPH-dependent curcumin reductase,2,2,1.0,2,60,,,,1029,1029,1029.0,BEOABDLH_00117,,,,,AAIMJHFH_00410,,,,,,
yfcG_1,yfcG_1,Disulfide-bond oxidoreductase YfcG,2,2,1.0,2,59,,,,678,678,678.0,BEOABDLH_00104,,,,,AAIMJHFH_00397,,,,,,
group_7870,,hypothetical protein,2,2,1.0,2,58,,,,459,459,459.0,BEOABDLH_00133,,,,,AAIMJHFH_00426,,,,,,
stp_2,stp_2,Multidrug resistance protein Stp,2,2,1.0,2,57,,,,1536,1536,1536.0,BEOABDLH_00140,,,,,AAIMJHFH_00433,,,,,,
group_7869,,2-haloacrylate reductase,2,2,1.0,2,56,,,,825,825,825.0,BEOABDLH_00123,,,,,AAIMJHFH_00416,,,,,,
fadJ_1,fadJ_1,Fatty acid oxidation complex subunit alpha,2,2,1.0,2,55,,,,825,825,825.0,BEOABDLH_00095,,,,,AAIMJHFH_00384,,,,,,
group_7868,,hypothetical protein,2,2,1.0,2,54,,,,114,114,114.0,BEOABDLH_00138,,,,,AAIMJHFH_00431,,,,,,
fdhC_1,fdhC_1,Fructose dehydrogenase cytochrome subunit,2,2,1.0,2,53,,,,1383,1383,1383.0,BEOABDLH_00098,,,,,AAIMJHFH_00387,,,,,,
group_7867,rutB_3,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,2,2,1.0,2,52,,,,630,630,630.0,BEOABDLH_00127,,,,,AAIMJHFH_00420,,,,,,
group_7866,,hypothetical protein,2,2,1.0,2,51,,,,1641,1641,1641.0,BEOABDLH_00115,,,,,AAIMJHFH_00408,,,,,,
group_7865,,hypothetical protein,2,2,1.0,2,50,,,,423,423,423.0,BEOABDLH_00122,,,,,AAIMJHFH_00415,,,,,,
osmC_1,osmC_1,Peroxiredoxin OsmC,2,2,1.0,2,49,,,,423,423,423.0,BEOABDLH_00094,,,,,AAIMJHFH_00383,,,,,,
group_7864,,hypothetical protein,2,2,1.0,2,48,,,,471,471,471.0,BEOABDLH_00090,,,,,AAIMJHFH_00379,,,,,,
group_7863,,hypothetical protein,2,2,1.0,2,47,,,,357,357,357.0,BEOABDLH_00070,,,,,AAIMJHFH_00359,,,,,,
fadJ_2,fadJ_2,Fatty acid oxidation complex subunit alpha,2,2,1.0,2,46,,,,849,849,849.0,BEOABDLH_00142,,,,,AAIMJHFH_00435,,,,,,
cutM_1,cutM_1,Carbon monoxide dehydrogenase medium chain,2,2,1.0,2,45,,,,849,849,849.0,BEOABDLH_00113,,,,,AAIMJHFH_00406,,,,,,
cdhA_1,cdhA_1,Caffeine dehydrogenase subunit alpha,2,2,1.0,2,44,,,,2391,2391,2391.0,BEOABDLH_00114,,,,,AAIMJHFH_00407,,,,,,
group_7861,,hypothetical protein,2,2,1.0,2,42,,,,498,501,499.5,BEOABDLH_00164,,,,,AAIMJHFH_00449,,,,,,
group_7860,,hypothetical protein,2,2,1.0,2,41,,,,1089,1089,1089.0,BEOABDLH_00106,,,,,AAIMJHFH_00399,,,,,,
group_7859,dps1,DNA protection during starvation protein 1,2,2,1.0,2,40,,,,495,495,495.0,BEOABDLH_00135,,,,,AAIMJHFH_00428,,,,,,
abaF,abaF,Fosfomycin resistance protein AbaF,2,2,1.0,2,39,,,,1320,1320,1320.0,BEOABDLH_00110,,,,,AAIMJHFH_00403,,,,,,
group_7858,,hypothetical protein,2,2,1.0,2,38,,,,1890,1890,1890.0,BEOABDLH_00085,,,,,AAIMJHFH_00374,,,,,,
group_7857,scoA,putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A,2,2,1.0,2,37,,,,708,708,708.0,BEOABDLH_00107,,,,,AAIMJHFH_00400,,,,,,
tmoT_1,tmoT_1,Response regulator protein TmoT,2,2,1.0,2,35,,,,657,657,657.0,BEOABDLH_00139,,,,,AAIMJHFH_00432,,,,,,
group_7855,,hypothetical protein,2,2,1.0,2,34,,,,795,1515,1155.0,BEOABDLH_00130,,,,,AAIMJHFH_00423,,,,,,
group_7854,,hypothetical protein,2,2,1.0,2,33,,,,657,657,657.0,BEOABDLH_00109,,,,,AAIMJHFH_00402,,,,,,
group_7852,,Soluble epoxide hydrolase,2,2,1.0,2,31,,,,987,987,987.0,BEOABDLH_00143,,,,,AAIMJHFH_00436,,,,,,
group_7851,,hypothetical protein,2,2,1.0,2,30,,,,381,381,381.0,BEOABDLH_00082,,,,,AAIMJHFH_00371,,,,,,
group_7850,,hypothetical protein,2,2,1.0,2,29,,,,525,525,525.0,BEOABDLH_00076,,,,,AAIMJHFH_00365,,,,,,
chaC_1,chaC_1,Glutathione-specific gamma-glutamylcyclotransferase,2,2,1.0,2,28,,,,684,684,684.0,BEOABDLH_00146,,,,,AAIMJHFH_00439,,,,,,
pbuE,pbuE,Purine efflux pump PbuE,2,2,1.0,2,27,,,,1218,1218,1218.0,BEOABDLH_00077,,,,,AAIMJHFH_00366,,,,,,
group_7849,,hypothetical protein,2,2,1.0,2,26,,,,288,288,288.0,BEOABDLH_00072,,,,,AAIMJHFH_00361,,,,,,
group_7848,,hypothetical protein,2,2,1.0,2,25,,,,729,822,775.5,BEOABDLH_00084,,,,,AAIMJHFH_00373,,,,,,
group_7847,,hypothetical protein,2,2,1.0,2,24,,,,555,555,555.0,BEOABDLH_00080,,,,,AAIMJHFH_00369,,,,,,
group_7845,,Ferredoxin--NADP reductase,2,2,1.0,2,21,,,,1671,1671,1671.0,BEOABDLH_00118,,,,,AAIMJHFH_00411,,,,,,
group_7843,,hypothetical protein,2,2,1.0,2,19,,,,585,585,585.0,BEOABDLH_00079,,,,,AAIMJHFH_00368,,,,,,
group_7842,,2-haloacrylate reductase,2,2,1.0,2,18,,,,990,990,990.0,BEOABDLH_00101,,,,,AAIMJHFH_00394,,,,,,
hchA_1,hchA_1,Protein/nucleic acid deglycase HchA,2,2,1.0,2,17,,,,687,687,687.0,BEOABDLH_00089,,,,,AAIMJHFH_00378,,,,,,
group_7840,,hypothetical protein,2,2,1.0,2,15,,,,312,312,312.0,BEOABDLH_00069,,,,,AAIMJHFH_00358,,,,,,
rutB_2,rutB_2,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,2,2,1.0,2,14,,,,612,612,612.0,BEOABDLH_00126,,,,,AAIMJHFH_00419,,,,,,
group_7839,,hypothetical protein,2,2,1.0,2,13,,,,528,528,528.0,BEOABDLH_00121,,,,,AAIMJHFH_00414,,,,,,
group_7838,,hypothetical protein,2,2,1.0,2,12,,,,879,879,879.0,BEOABDLH_00100,,,,,AAIMJHFH_00393,,,,,,
thlA_1,thlA_1,Acetyl-CoA acetyltransferase,2,2,1.0,2,11,,,,1185,1185,1185.0,BEOABDLH_00134,,,,,AAIMJHFH_00427,,,,,,
group_7837,,hypothetical protein,2,2,1.0,2,10,,,,903,903,903.0,BEOABDLH_00158,,,,,AAIMJHFH_00444,,,,,,
osmC_2,osmC_2,Peroxiredoxin OsmC,2,2,1.0,2,9,,,,429,429,429.0,BEOABDLH_00141,,,,,AAIMJHFH_00434,,,,,,
emrA_2,emrA_2,Colistin resistance protein EmrA,2,2,1.0,2,8,,,,1065,1065,1065.0,BEOABDLH_00120,,,,,AAIMJHFH_00413,,,,,,
group_7835,,hypothetical protein,2,2,1.0,2,6,,,,501,501,501.0,BEOABDLH_00074,,,,,AAIMJHFH_00363,,,,,,
group_7834,,hypothetical protein,2,2,1.0,2,5,,,,852,1536,1194.0,BEOABDLH_00099,,,,,AAIMJHFH_00392,,,,,,
group_7833,,hypothetical protein,2,2,1.0,2,4,,,,690,690,690.0,BEOABDLH_00116,,,,,AAIMJHFH_00409,,,,,,
group_7832,,hypothetical protein,2,2,1.0,2,3,,,,690,690,690.0,BEOABDLH_00102,,,,,AAIMJHFH_00395,,,,,,
stp_1,stp_1,Multidrug resistance protein Stp,2,2,1.0,2,2,,,,1410,1410,1410.0,BEOABDLH_00071,,,,,AAIMJHFH_00360,,,,,,
group_7831,,hypothetical protein,2,2,1.0,2,1,,,,483,483,483.0,BEOABDLH_00149,,,,,AAIMJHFH_00442,,,,,,
namA_2~~~namA_1,namA_2;namA_1,NADPH dehydrogenase,2,2,1.0,1,12321,,,,1296,1296,1296.0,,,,MPBMMNBG_05241,,,,,,,EGPCAGCP_05545,
group_7802,emrA_1;emrA_6,Colistin resistance protein EmrA,2,2,1.0,1,12316,,,,1191,1191,1191.0,BEOABDLH_00038,,,,,AAIMJHFH_06633,,,,,,
group_7801,,hypothetical protein,2,2,1.0,1,12315,,,,402,402,402.0,BEOABDLH_00036,,,,,AAIMJHFH_06631,,,,,,
group_7799,,Modification methylase Eco57IB,2,2,1.0,1,12313,,,,1311,1455,1383.0,BEOABDLH_00033,,,,,AAIMJHFH_06628,,,,,,
group_7778,,hypothetical protein,2,2,1.0,1,12271,,,,195,648,421.5,,,,,INCINKBK_04665,,,,,DHFEOIJP_06091,,
group_7747,,IS5 family transposase ISNeu3,2,2,1.0,1,12221,,,,372,375,373.5,,,,MPBMMNBG_05103,INCINKBK_05267,,,,,,,
group_7723,,hypothetical protein,2,2,1.0,1,12173,,,,822,822,822.0,,,,,INCINKBK_04677,,,,,DHFEOIJP_04409,,
group_7718,,hypothetical protein,2,2,1.0,1,12166,,,,303,303,303.0,BEOABDLH_02580,,,,,,,,,,,FIDFLPKG_02358
group_7708,bcp_2;,Pseudoazurin;hypothetical protein,2,2,1.0,1,12148,,,,330,444,387.0,,,,,INCINKBK_04618,,,,,DHFEOIJP_00220,,
fadA_2~~~pcaF_2,fadA_2;pcaF_2,3-ketoacyl-CoA thiolase;Beta-ketoadipyl-CoA thiolase,2,2,1.0,1,12123,,,,297,408,352.5,,,,,INCINKBK_06013,,,,,DHFEOIJP_05923,,
group_7674,,hypothetical protein,2,3,1.5,1,12080,,,,198,1089,779.0,,,,MPBMMNBG_02297;MPBMMNBG_02296,,,,NAIMLHBL_02481,,,,
group_7670,,hypothetical protein,2,2,1.0,1,12072,,,,1236,1263,1249.5,,,,MPBMMNBG_04580,,,CEOONHHG_04337,,,,,
group_7624,yceI,Protein YceI,2,2,1.0,1,11988,,,,615,621,618.0,,,,,INCINKBK_02467,,,,,DHFEOIJP_02332,,
group_7623,,hypothetical protein,2,2,1.0,1,11987,,,,1224,1227,1225.5,,,,MPBMMNBG_02362,,AAIMJHFH_03078,,,,,,
group_7621,,hypothetical protein,2,2,1.0,1,11985,,,,1194,1194,1194.0,BEOABDLH_02592,,,,,,,,,,,FIDFLPKG_02389
group_7620,,hypothetical protein,2,2,1.0,1,11983,,,,1131,1131,1131.0,,IGIKDAHF_00042,,,,,,,,DHFEOIJP_05331,,
group_7618,,hypothetical protein,2,2,1.0,1,11980,,,,639,702,670.5,,IGIKDAHF_03169,,,,,,NAIMLHBL_02981,,,,
yhaJ,yhaJ,HTH-type transcriptional regulator YhaJ,2,2,1.0,1,11978,,,,897,918,907.5,,,,MPBMMNBG_00044,,,,,,,EGPCAGCP_05485,
nemA_3~~~nemA_2,nemA_3;nemA_2,N-ethylmaleimide reductase,2,2,1.0,1,11974,,,,1122,1203,1162.5,,,,,,AAIMJHFH_06314,,,,DHFEOIJP_05835,,
group_7614,ytcD,putative HTH-type transcriptional regulator YtcD,2,2,1.0,1,11973,,,,360,360,360.0,,,,,,AAIMJHFH_06313,,,,DHFEOIJP_05834,,
group_7612,,hypothetical protein,2,2,1.0,1,11971,,,,216,216,216.0,,,,,INCINKBK_04699,,,,,DHFEOIJP_04430,,
group_7610,,hypothetical protein,2,3,1.5,1,11969,,,,252,651,438.0,,,,,INCINKBK_01699;INCINKBK_01700,,,,,DHFEOIJP_00166,,
group_7608,,hypothetical protein,2,2,1.0,1,11967,,,,624,624,624.0,,,,MPBMMNBG_03376,,,,,,DHFEOIJP_03375,,
group_7604,,hypothetical protein,2,2,1.0,1,11963,,,,723,1323,1023.0,,,,,,AAIMJHFH_06257,,,,,EGPCAGCP_05943,
group_7603,,hypothetical protein,2,2,1.0,1,11962,,,,966,1095,1030.5,,,,,,AAIMJHFH_06255,,,,,EGPCAGCP_05936,
pcpF_1~~~pcpF_2,pcpF_1;pcpF_2,Glutathionyl-hydroquinone reductase PcpF,2,2,1.0,1,11958,,,,960,960,960.0,,,,MPBMMNBG_00048,,,,,,,EGPCAGCP_05479,
group_7595,,hypothetical protein,2,2,1.0,1,11951,,,,432,432,432.0,,,,,INCINKBK_04640,,,,,DHFEOIJP_06118,,
group_7591,,hypothetical protein,2,2,1.0,1,11946,,,,102,102,102.0,,,,,INCINKBK_04237,,,,,DHFEOIJP_03986,,
group_7580,,hypothetical protein,2,2,1.0,1,11931,,,,684,759,721.5,,IGIKDAHF_02372,,,,,,NAIMLHBL_02123,,,,
group_7578,,hypothetical protein,2,2,1.0,1,11929,,,,708,708,708.0,,,,,INCINKBK_04862,,,,,DHFEOIJP_04593,,
group_7571,,IS5 family transposase ISNeu3;hypothetical protein,2,2,1.0,1,11921,,,,375,420,397.5,,,,,,,CEOONHHG_05544,,,,,FIDFLPKG_06623
ccmC_1,ccmC_1,Heme exporter protein C,2,2,1.0,1,11907,,,,357,765,561.0,,,,,INCINKBK_00364,,,,,DHFEOIJP_04397,,
group_7566,,hypothetical protein,2,2,1.0,1,11906,,,,252,414,333.0,,IGIKDAHF_02371,,,,,,NAIMLHBL_02122,,,,
group_7548,,hypothetical protein,2,2,1.0,1,11885,,,,363,759,561.0,,,,,INCINKBK_06142,,,,,DHFEOIJP_06071,,
group_7547,,hypothetical protein,2,2,1.0,1,11884,,,,375,720,547.5,,,,,,,,,,,EGPCAGCP_03457,FIDFLPKG_03806
group_7544,,hypothetical protein,2,2,1.0,1,11881,,,,399,477,438.0,,IGIKDAHF_01414,,MPBMMNBG_00927,,,,,,,,
virD4_2~~~virD4,virD4_2;virD4,Protein VirD4,2,2,1.0,1,11873,,,,510,591,550.5,,,,,,,CEOONHHG_06750,,,,EGPCAGCP_06559,
group_7538,,hypothetical protein,2,2,1.0,1,11871,,,,1485,1524,1504.5,BEOABDLH_00058,,,,,AAIMJHFH_00636,,,,,,
group_7535,,hypothetical protein,2,3,1.5,1,11868,,,,123,381,260.0,,,,,,,,,,,EGPCAGCP_05270,FIDFLPKG_05839;FIDFLPKG_05840
yciF_1,yciF_1,Protein YciF,2,2,1.0,1,11864,,,,408,513,460.5,BEOABDLH_00065,,,,,AAIMJHFH_00624,,,,,,
group_7531,,hypothetical protein,2,2,1.0,1,11863,,,,378,378,378.0,,,,,INCINKBK_04645,,,,,DHFEOIJP_06113,,
group_7528,,hypothetical protein,2,2,1.0,1,11860,,,,438,597,517.5,,,,,,,CEOONHHG_06751,,,,EGPCAGCP_06560,
group_7520,,hypothetical protein,2,3,1.5,1,11852,,,,276,852,547.0,,,,,INCINKBK_04686;INCINKBK_04687,,,,,DHFEOIJP_04417,,
dnaE2_4~~~dnaE2_3,dnaE2_4;dnaE2_3,Error-prone DNA polymerase,2,2,1.0,1,11850,,,,348,471,409.5,BEOABDLH_07654,,,,,AAIMJHFH_07905,,,,,,
group_7517,,hypothetical protein,2,2,1.0,1,11847,,,,441,567,504.0,,IGIKDAHF_01747,,,,,,NAIMLHBL_01590,,,,
azoR1,azoR1,FMN-dependent NADH-azoreductase 1,2,2,1.0,1,11845,,,,612,687,649.5,,,,MPBMMNBG_00045,,,,,,,EGPCAGCP_05482,
group_7514,,hypothetical protein,2,2,1.0,1,11843,,,,405,405,405.0,,,,MPBMMNBG_00267,,,,,,,EGPCAGCP_05530,
yiiM,yiiM;,Protein YiiM;hypothetical protein,2,2,1.0,1,11840,,,,597,702,649.5,,,,,INCINKBK_04863,,,,,DHFEOIJP_04594,,
group_7510,,hypothetical protein,2,2,1.0,1,11838,,,,681,894,787.5,,,,,INCINKBK_04539,,,,,DHFEOIJP_04288,,
amyA~~~amyA_1,amyA;amyA_1,Cytoplasmic alpha-amylase,2,2,1.0,1,11836,,,,1146,1491,1318.5,BEOABDLH_00060,,,,,AAIMJHFH_00631,,,,,,
group_7504,,hypothetical protein,2,2,1.0,1,11830,,,,579,669,624.0,,,DPGEGJOO_04840,,,,,,FBJECBCC_04865,,,
group_7500,,hypothetical protein,2,2,1.0,1,11825,,,,135,135,135.0,BEOABDLH_06147,,,,,AAIMJHFH_06390,,,,,,
group_7482,,hypothetical protein,2,2,1.0,1,11798,,,,720,720,720.0,,,,,INCINKBK_04861,,,,,DHFEOIJP_04592,,
group_7475,,hypothetical protein,2,2,1.0,1,11788,,,,573,633,603.0,,,,,INCINKBK_03249,,,,,DHFEOIJP_02999,,
group_7460,,hypothetical protein,2,2,1.0,1,11771,,,,369,402,385.5,BEOABDLH_02553,,,,,,,,,,,FIDFLPKG_02330
group_7454,ugpC_18;,sn-glycerol-3-phosphate import ATP-binding protein UgpC;hypothetical protein,2,2,1.0,1,11760,,,,333,708,520.5,,,DPGEGJOO_06533,,,,,,FBJECBCC_05963,,,
group_7450,,hypothetical protein,2,2,1.0,1,11754,,,,231,240,235.5,,,,,,,,,,,EGPCAGCP_05275,FIDFLPKG_05845
group_7444,,hypothetical protein,2,2,1.0,1,11744,,,,690,750,720.0,,,,MPBMMNBG_05215,,,,,,DHFEOIJP_05324,,
group_7442,,hypothetical protein,2,2,1.0,1,11742,,,,804,804,804.0,,,,,,AAIMJHFH_02126,,,,DHFEOIJP_01416,,
group_7437,,IS5 family transposase ISNeu3;hypothetical protein,2,2,1.0,1,11733,,,,207,369,288.0,,,,,,,CEOONHHG_05543,,,,,FIDFLPKG_06622
thiG_2,;thiG_2,hypothetical protein;Thiazole synthase,2,2,1.0,1,11730,,,,198,1080,639.0,,,,MPBMMNBG_00223,,,,,,DHFEOIJP_05206,,
thiC_1~~~thiC_2,thiC_1;thiC_2,Phosphomethylpyrimidine synthase,2,2,1.0,1,11729,,,,369,1818,1093.5,,,,MPBMMNBG_00221,,,,,,DHFEOIJP_05208,,
group_7432,,hypothetical protein,2,2,1.0,1,11725,,,,912,1059,985.5,,,,MPBMMNBG_00026,,,,,,,EGPCAGCP_05503,
prmC_3~~~prmC_1,prmC_3;prmC_1,Release factor glutamine methyltransferase,2,2,1.0,1,11701,,,,705,705,705.0,,,,,INCINKBK_05584,,,,,DHFEOIJP_00103,,
group_7414,,hypothetical protein,2,2,1.0,1,11698,,,,648,648,648.0,BEOABDLH_05499,,,,,AAIMJHFH_08078,,,,,,
sotB,;sotB,hypothetical protein;sugar efflux transporter,2,3,1.5,1,11696,,,,348,1221,781.0,,,DPGEGJOO_06432,,,,,,FBJECBCC_05862;FBJECBCC_05861,,,
group_7410,,hypothetical protein,2,2,1.0,1,11693,,,,216,300,258.0,,,,,INCINKBK_04200,,,,,DHFEOIJP_03953,,
group_7409,,hypothetical protein,2,2,1.0,1,11692,,,,954,954,954.0,,,,,INCINKBK_04637,,,,,DHFEOIJP_06121,,
group_7403,,hypothetical protein,2,2,1.0,1,11682,,,,543,765,654.0,BEOABDLH_06139,,,,,AAIMJHFH_06382,,,,,,
group_7402,,hypothetical protein,2,2,1.0,1,11681,,,,129,129,129.0,,,,MPBMMNBG_05217,,,,,,DHFEOIJP_05326,,
group_7400,;parE1,hypothetical protein;Toxin ParE1,2,2,1.0,1,11679,,,,291,396,343.5,,,,MPBMMNBG_04967,,,,,,DHFEOIJP_04856,,
yoeB,yoeB,Toxin YoeB,2,2,1.0,1,11678,,,,273,273,273.0,,,,,,,,NAIMLHBL_05895,,DHFEOIJP_05782,,
ltnD_1,ltnD_1,L-threonate dehydrogenase,2,2,1.0,1,11671,,,,870,900,885.0,BEOABDLH_06038,,,,,,,,,,,FIDFLPKG_06182
hlyU_2~~~hlyU_3,hlyU_2;hlyU_3,Transcriptional activator HlyU,2,2,1.0,1,11668,,,,279,297,288.0,,,,,INCINKBK_06021,,,,,DHFEOIJP_05931,,
iscS_3,iscS_3,Cysteine desulfurase IscS,2,2,1.0,1,11667,,,,144,144,144.0,,,,,INCINKBK_03242,,,,,DHFEOIJP_02992,,
group_7390,,hypothetical protein,2,2,1.0,1,11658,,,,285,285,285.0,,,,,INCINKBK_04631,,,,,DHFEOIJP_06128,,
edd_1~~~edd_2,edd_1;edd_2,Phosphogluconate dehydratase,2,2,1.0,1,11650,,,,1905,1905,1905.0,BEOABDLH_00439,,,,,AAIMJHFH_06651,,,,,,
nirK,nirK,Copper-containing nitrite reductase,2,2,1.0,1,11643,,,,1149,1149,1149.0,,,,,INCINKBK_04636,,,,,DHFEOIJP_06122,,
group_7378,,hypothetical protein,2,2,1.0,1,11638,,,,435,489,462.0,BEOABDLH_06059,,,,,,,,,,,FIDFLPKG_06203
blh_3~~~blh_1,blh_3;blh_1,Beta-lactamase hydrolase-like protein,2,2,1.0,1,11637,,,,879,879,879.0,,,,,INCINKBK_05580,,,,,DHFEOIJP_00100,,
group_7373,,hypothetical protein,2,2,1.0,1,11632,,,,186,186,186.0,,,,,INCINKBK_04611,,,,,DHFEOIJP_00213,,
group_7370,,hypothetical protein,2,2,1.0,1,11627,,,,465,507,486.0,,,,MPBMMNBG_00024,,,,,,,EGPCAGCP_05505,
group_7363,,hypothetical protein,2,2,1.0,1,11619,,,,810,891,850.5,,,DPGEGJOO_03098,,,,,,FBJECBCC_03122,,,
group_7358,,hypothetical protein,2,2,1.0,1,11612,,,,228,228,228.0,,,,,INCINKBK_04629,,,,,DHFEOIJP_06130,,
group_7356,,hypothetical protein,2,2,1.0,1,11610,,,,2307,2493,2400.0,,,,,INCINKBK_00892,,,,,DHFEOIJP_00620,,
group_7342,,hypothetical protein,2,2,1.0,1,11590,,,,342,384,363.0,,IGIKDAHF_00028,,,,,,,,DHFEOIJP_05345,,
group_7340,,IS1182 family transposase ISRle11,2,2,1.0,1,11587,,,,447,447,447.0,,,,,,,CEOONHHG_04011,,,,EGPCAGCP_04049,
group_7339,,IS1182 family transposase ISRle11,2,2,1.0,1,11586,,,,447,447,447.0,,,,,,,CEOONHHG_03392,,,,EGPCAGCP_04682,
group_7338,,IS66 family transposase ISRle3,2,2,1.0,1,11585,,,,1542,1542,1542.0,,,,,,AAIMJHFH_06441,,,,,EGPCAGCP_01227,
group_7337,,hypothetical protein,2,2,1.0,1,11584,,,,345,345,345.0,,,,,,AAIMJHFH_06442,,,,,EGPCAGCP_01226,
group_7336,,hypothetical protein,2,2,1.0,1,11583,,,,300,300,300.0,,,,,INCINKBK_02969,,,,,DHFEOIJP_02721,,
group_7335,,hypothetical protein,2,2,1.0,1,11582,,,,222,222,222.0,,,,,INCINKBK_06563,,,,,DHFEOIJP_06446,,
group_7334,,IS5 family transposase ISRel13,2,2,1.0,1,11581,,,,378,378,378.0,,,,,INCINKBK_05452,,,,,DHFEOIJP_01707,,
group_7330,,hypothetical protein,2,2,1.0,1,11577,,,,1179,1179,1179.0,,,DPGEGJOO_05325,,,AAIMJHFH_07410,,,,,,
group_7328,,hypothetical protein,2,2,1.0,1,11575,,,,1179,1179,1179.0,,,,,,AAIMJHFH_02054,,,,,,FIDFLPKG_06388
hemA,hemA,5-aminolevulinate synthase,2,2,1.0,1,11574,,,,1215,1215,1215.0,,,,,INCINKBK_00363,,,,,DHFEOIJP_04396,,
group_7327,,IS200/IS605 family transposase ISCARN10,2,2,1.0,1,11573,,,,267,267,267.0,,IGIKDAHF_01840,,,,,,NAIMLHBL_04376,,,,
group_7326,,IS200/IS605 family transposase ISCARN10,2,2,1.0,1,11572,,,,267,267,267.0,,IGIKDAHF_02975,,,,,,NAIMLHBL_02783,,,,
group_7325,,IS200/IS605 family transposase ISCARN10,2,2,1.0,1,11571,,,,267,267,267.0,,IGIKDAHF_04426,,,,,,NAIMLHBL_02125,,,,
group_7323,,hypothetical protein,2,2,1.0,1,11569,,,,153,153,153.0,,IGIKDAHF_02370,,,,,,NAIMLHBL_02121,,,,
group_7322,,hypothetical protein,2,2,1.0,1,11568,,,,153,153,153.0,,IGIKDAHF_00463,,,,,,NAIMLHBL_00322,,,,
